geo_location_id,geo_location_name
1,Ahvaz; Iran
2,Americas
3,Australia
4,Bangladesh
5,Bari; Italy
6,Beijing;China
7,Brazil
8,Canada
9,Catalonia; Spain
10,Chiang Mai; Thailand
11,China
12,Denmark
13,Egypt
14,Florida; United States
15,France
16,Germany
17,Greece
18,Grenada
19,Guangzhou; China
20,Harbin; China
21,Helsinki; Finland
22,Hong Kong
23,India
24,Iran
25,Israel
26,Italy
27,Japan
28,Kaohsiung; Taiwan
29,Kuwait
30,Maine; United States
31,Mexico
32,Montreal; Canada
34,Netherland
35,New York State; United States
36,New Zealand
38,Pakistan
37,nil
39,Paris; France
40,Peru
41,Poland
42,Queensland; Australia
43,Reunion Island
44,Saudi Arabia
45,Seoul; South Korea
46,Serbia
47,Singapore
48,South Africa
49,South Korea
50,Spain
51,Sri Lanka
52,Sweden
53,Switzerland
54,Szeged region; Southern Hungary
55,Tainan City; Taiwan
56,Taipei; Taiwan
57,Taiwan
58,Tehran; Iran
59,Thailand
60,United Kingdom
61,United States
62,Uzice; Serbia
63,Valencia; Spain
64,Vietnam
65,Windsor; Canada
