publication_id,air_pollutant,air_pollutant_id
1,nil,12
2,Outdoor air pollutants,2
3,Air pollutants,2
4,Fine particulate matter,15
4,PM2.5,17
5,nil,12
6,Ozone,14
7,PM2.5 chemical components,18
8,Air pollutants,2
9,nil,12
10,Air pollutants,2
11,nil,12
12,Pollen,19
13,Air Quality Index,4
14,Ozone,14
15,nil,12
16,Air Quality Index,4
16,Air pollutants,2
17,Air pollution,2
18,nil,12
19,Ozone,14
20,Ozone,14
21,Air Quality Index,4
22,Air pollutants,2
23,nil,12
24,nil,12
25,nil,12
26,Ambient air pollutants,2
27,nil,12
28,Sulfur dioxide,21
29,nil,12
30,PM10,18
31,PM2.5,17
32,PM2.5,17
33,PM10,18
33,PM2.5,17
33,Biological and chemical components,6
34,PM2.5,17
35,Air pollutants,2
36,Air pollutants,2
37,Air pollutants,2
38,Air pollutants,2
39,Air pollutants,2
40,nil,12
41,Nitrogen dioxide,13
42,Air pollutants,2
43,nil,12
44,Nitrogen dioxide,13
45,Ozone,14
46,Black carbon,7
47,Wildfire smoke,22
47,PM2.5,17
48,nil,12
49,Air pollutants,2
50,PM2.5,17
51,Dust,9
51,Particulate matter,15
52,nil,12
53,Wildfire smoke,22
53,PM2.5,17
54,PM2.5,17
54,Ozone,14
55,nil,12
56,nil,12
57,nil,12
58,nil,12
59,Air pollutants,2
60,Multiple air pollutants,2
61,Air pollutants,2
62,Wildfire particulate matter,22
63,nil,12
64,Air pollutants,2
65,PM2.5,17
65,PM10,18
65,Sulfur dioxide,21
65,Nitrogen dioxide,13
65,Ozone,14
66,Ozone,14
67,Pollen,19
67,Particulate matter,15
68,None,12
69,nil,12
70,PM2.5,17
70,PM10,18
70,Sulfur dioxide,21
70,Nitrogen dioxide,13
70,Ozone,14
71,PM2.5,17
71,PM10,18
71,Sulfur dioxide,21
71,Nitrogen dioxide,13
71,Ozone,14
72,Particulate matter,15
72,Nitrogen dioxide,13
72,Ozone,14
73,nil,12
74,PM2.5,17
74,Nitrogen dioxide,13
75,Carbon monoxide,8
75,PM2.5,17
75,PM10,18
75,Sulfur dioxide,21
75,Nitrogen dioxide,13
75,Ozone,14
76,Air pollutants,2
76,Pollen,19
77,nil,12
78,PM2.5,17
78,Nitrogen dioxide,13
78,Ozone,14
79,PM2.5,17
79,PM10,18
79,Sulfur dioxide,21
79,Nitrogen dioxide,13
79,Ozone,14
80,Air quality measures,4
81,nil,12
82,Ozone,14
82,Nitrogen dioxide,13
82,Sulfur dioxide,21
83,Dust,9
83,Particulate matter,15
84,Ozone,14
85,nil,12
86,nil,12
87,Pollen,19
87,Airborne particles,5
88,PM2.5,17
88,Sulfur dioxide,21
88,PM10,18
89,PM2.5,17
89,Ozone,14
89,Nitrogen dioxide,13
89,Sulfur dioxide,21
90,PM2.5,17
90,Ozone,14
90,Nitrogen dioxide,13
90,Sulfur dioxide,21
91,nil,12
92,nil,12
93,nil,12
94,Particulate matter,15
94,Dust,9
95,Air pollutants,2
96,nil,12
97,Particulate matter,15
97,Nitrogen dioxide,13
97,Ozone,14
98,PM2.5,17
98,Nitrogen dioxide,13
98,Ozone,14
101,None,12
102,PM2.5-bound PAHs,18
102,PM2.5,17
103,PM10,18
104,PM2.5,17
104,PM10,18
104,Nitrogen dioxide,13
104,Ozone,14
105,PM2.5,17
105,Nitrogen dioxide,13
105,Ozone,14
106,Air pollutants,2
107,Air pollution,2
108,nil,12
109,Ambient environment,2
110,Fine particulate matter,15
111,nil,12
112,nil,12
113,Air pollutants,2
114,nil,12
115,PM2.5,17
115,Ozone,14
116,nil,12
117,Air pollution,2
118,Ozone,14
119,nil,12
120,Air pollutants,2
121,Air pollution,2
122,nil,12
123,nil,12
124,Ambient air pollution,2
125,Coal mine fire smoke,20
126,Air pollutants,2
126,Asian dust,9
127,PM2.5,17
128,nil,12
129,Ambient air pollutants,2
130,Environmental factors,10
131,Sulfur dioxide,21
132,Fine particulate matter,15
133,PM2.5,17
134,Fine particulate matter,15
135,PM2.5,17
135,PM10,18
136,PM2.5,17
137,Ambient air pollution,2
138,nil,12
139,Pollution during inversions,2
140,Urban air pollution,2
141,Aeroallergens,1
141,Storm-related factors,2
142,Air pollutants,2
143,Air pollutants,2
144,Atmospheric pollutants,2
145,Ozone,14
146,Particulate matter,15
147,nil,12
148,nil,12
149,Aeroallergens,1
150,Size-fractioned particulate matter,15
151,Air pollutants,2
152,Biological and chemical air pollutants,6
153,Environmental pollutants,2
154,Fine particulate matter,15
155,Air pollutants,2
156,Ambient air pollutants,2
157,nil,12
158,nil,12
159,Ozone,14
160,Ambient air pollutants,2
161,Ambient air pollutants,2
162,Air quality index,4
163,AQHI,3
163,Air pollutants,2
164,PM1,16
165,PM2.5,17
166,Particulate matter,15
166,Air pollutants,2
167,Air pollutants,2
168,Gaseous pollutants,11
169,Particulate matter,15
170,Air pollutants,2
171,Ambient air pollutants,2
172,Environmental pollutants,2
173,nil,12
174,Aeroallergens,1
175,nil,12
176,nil,12
177,Sulfur dioxide,21
178,nil,12
179,Ambient air pollutants,2
180,Air pollutants,2
181,Air pollutants,2
182,nil,12
183,Nitrogen dioxide,13
184,Nitrogen dioxide,13
184,Ozone,14
185,Air pollutants,2
186,Air pollutants,2
187,PM2.5,17
188,Black carbon,7
189,Desert dust (particulate matter),9
190,Particulate matter,15
191,Air pollutants,2
192,PM2.5 constituents,18
193,nil,12
194,Ozone,14
194,PM2.5,17
195,Air pollutants,2
196,Ozone,14
197,Ozone,14
198,Air pollutants,2
199,Pollen,19
200,Air pollutants,2
201,PM2.5,17
202,Air pollutants,2
203,Air pollutants,2
204,nil,12
