publication_id,geo_location,geoLocation_id
1,nil,37
2,nil,37
3,nil,37
4,United States,61
5,Queensland; Australia,42
6,nil,37
7,China,11
8,South Korea,49
9,nil,37
10,Singapore,47
11,Switzerland,53
12,nil,37
13,United States,61
14,United States,61
15,Australia,3
16,Mexico,31
17,United States,61
18,Japan,27
19,nil,37
20,United States,61
21,Chiang Mai; Thailand,10
22,Bangladesh,4
23,United Kingdom,60
24,China,11
25,nil,37
26,Denmark,12
27,Spain,50
28,Uzice; Serbia,62
29,China,11
30,Sweden,52
31,Peru,40
32,China,11
33,nil,37
34,China,11
35,Iran,24
36,Iran,24
37,Iran,24
38,Bari; Italy,5
39,France,15
40,Japan,27
41,Netherland,34
42,nil,37
43,Beijing;China,6
44,United States,61
45,Seoul; South Korea,45
46,nil,37
47,United States,61
48,China,11
49,Harbin; China,20
50,Paris; France,39
51,Grenada,18
52,Thailand,59
53,United States,61
54,United States,61
55,China,11
56,United States,61
57,Hong Kong,22
58,Kuwait,29
59,China,11
60,United States,61
61,Reunion Island,43
62,nil,37
63,Taiwan,57
64,France,15
65,China,11
66,nil,37
67,Australia,3
68,Egypt,13
69,China,11
70,Mexico,31
71,China,11
72,Germany,16
73,Iran,24
74,United States,61
75,nil,37
76,United States,61
77,China,11
78,United States,61
79,United States,61
80,New Zealand,36
81,China,11
82,nil,37
83,Saudi Arabia,44
84,United States,61
85,United States,61
86,China,11
87,New Zealand,36
88,Iran,24
89,United States,61
90,United States,61
91,China,11
92,Germany,16
93,South Africa,48
94,Kuwait,29
95,Denmark,12
96,Australia,3
97,Spain,50
98,Canada,8
101,Japan,27
102,Taiwan,57
103,China,11
104,Taiwan,57
105,United States,61
106,Poland,41
107,Tehran; Iran,58
108,Italy,26
109,Taiwan,57
110,Kaohsiung; Taiwan,28
111,Italy,26
112,Queensland; Australia,42
113,Ahvaz; Iran,1
114,Saudi Arabia,44
115,Taiwan,57
116,New York State; United States,35
117,United States,61
118,Taiwan,57
119,China,11
120,China,11
121,China,11
122,Taiwan,57
123,Vietnam,64
124,Poland,41
125,Australia,3
126,Japan,27
127,China,11
128,Bangladesh,4
129,China,11
130,Florida; United States,14
131,Guangzhou; China,19
132,Taipei; Taiwan,56
133,China,11
134,United States,61
135,China,11
136,nil,37
137,Iran,24
138,South Korea,49
139,United States,61
140,Helsinki; Finland,21
141,nil,37
142,China,11
143,South Korea,49
144,France,15
145,Helsinki; Finland,21
146,South Korea,49
147,nil,37
148,Italy,26
149,Australia,3
150,China,11
151,South Korea,49
152,Szeged region; Southern Hungary,54
153,Americas,2
154,United States,61
155,Italy,26
156,Iran,24
157,United Kingdom,60
158,nil,37
159,Maine; United States,30
160,India,23
161,United States,61
162,nil,37
163,Hong Kong,22
164,China,11
165,Australia,3
166,South Korea,49
167,Taiwan,57
168,China,11
169,Thailand,59
170,China,11
171,United States,61
172,nil,37
173,Sri Lanka,51
174,Kuwait,29
175,Vietnam,64
176,Japan,27
177,Queensland; Australia,42
178,Iran,24
179,China,11
180,Spain,50
181,Canada,8
182,China,11
183,Windsor; Canada,65
184,Catalonia; Spain,9
185,Valencia; Spain,63
186,United States,61
187,nil,37
188,Serbia,46
189,Greece,17
190,China,11
191,Japan,27
192,Pakistan,38
193,United States,61
194,United States,61
195,Poland,41
196,United States,61
197,United States,61
198,Israel,25
199,Montreal; Canada,32
200,Canada,8
201,Tainan City; Taiwan,55
202,South Africa,48
203,United States,61
204,Brazil,7
