publication_id,title,authors,journal,year,doi
1,Extreme weather and asthma: a systematic review and meta-analysis,Firdian Makrufardi;Amja Manullang;Desy Rusmawatiningtyas;Kian Fan Chung;Sheng-Chieh Lin;Hsiao-Chi Chuang,European Respiratory Review,2023,https://doi.org/10.1183/16000617.0019-2023
2,The impact of outdoor pollution and extreme temperatures on asthma?related outcomes: A systematic review for the EAACI guidelines on environmental science for allergic diseases and asthma,Agache et al. ,Allergy,2024,https://doi.org/10.1111/all.16041
3,Air Pollution and Arrhythmias,Matthew Bennett;Isabelle Nault;Michael Koehle;Stephen Wilton,Canadian Journal of Cardiology,2023,https://doi.org/10.1016/j.cjca.2023.03.023
4,Exposure-response associations between chronic exposure to fine particulate matter and risks of hospital admission for major cardiovascular diseases: population based cohort study,Yaguang Wei;Yijing Feng;Mahdieh Danesh Yazdi;Kanhua Yin;Edgar Castro;Alexandra Shtein;Xinye Qiu;Adjani A Peralta;Brent A Coull;Francesca Dominici;Joel D Schwartz,BMJ,2024,https://doi.org/10.1136/bmj-2023-076939
5,Multimorbidity and emergency hospitalisations during hot weather,Zhiwei Xu;Weizhuo Yi;Aaron Bach;Shilu Tong;Kristie L Ebi;Hong Su;Jian Cheng;Shannon Rutherford,eBioMedicine,2024,https://doi.org/10.1016/j.ebiom.2024.105148
6,Short-term ozone exposure and asthma severity: Weight-of-evidence analysis,Julie E Goodman;Ke Zu;Christine T Loftus;Heather N Lynch;Robyn L Prueitt;Isaac Mohar;Sara Pacheco Shubin;Sonja N Sax,Environmental Research,2018,https://doi.org/10.1016/j.envres.2017.10.018
7,Ambient PM2.5 Chemical Composition and Cardiovascular Disease Hospitalizations in China,Yaohua Tian;Yudiyang Ma;Junhui Wu;Yiqun Wu;Tao Wu;Yonghua Hu;Jing Wei,Environmental Science & Technology,2024,https://doi.org/10.1021/acs.est.4c05718
8,Prediction of the number of asthma patients using environmental factors based on deep learning algorithms,Hyemin Hwang;Jae-Hyuk Jang;Eunyoung Lee;Hae-Sim Park;Jae Young Lee,Respiratory Research,2023,https://doi.org/10.1186/s12931-023-02616-x
9,High Temperatures and Cardiovascular-Related Morbidity: A Scoping Review,Kendra R Cicci;Alana Maltby;Kristin K Clemens;Ana Maria Vicedo-Cabrera;Anna C Gunz;Éric Lavigne;Piotr Wilk,International Journal of Environmental Research and Public Health,2022,https://doi.org/10.3390/ijerph191811243
10,Ambient Air Quality and Emergency Hospital Admissions in Singapore: A Time-Series Analysis,Andrew Fu Wah Ho;Zhongxun Hu;Ting Zhen Cheryl Woo;Kenneth Boon Kiat Tan;Jia Hao Lim;Maye Woo;Nan Liu;Geoffrey G Morgan;Marcus Eng Hock Ong;Joel Aik,International Journal of Environmental Research and Public Health,2022,https://doi.org/10.3390/ijerph192013336
11,Heat-related cardiovascular morbidity and mortality in Switzerland: a clinical perspective,Florian Schulte;Martin Röösli;Martina S Ragettli,Swiss Medical Weekly,2021,https://doi.org/10.4414/SMW.2021.w30013
12,Thunderstorm-asthma and pollen allergy,G D'Amato;G Liccardi;G Frenguelli,Allergy,2007,https://doi.org/10.1111/j.1398-9995.2006.01271.x
13,Air Quality Index and Emergency Department Visits and Hospitalizations for Childhood Asthma,Franziska Rosser;Yueh-Ying Han;Scott D Rothenberger;Erick Forno;Christina Mair;Juan C Celedón,Annals of the American Thoracic Society,2022,https://doi.org/10.1513/AnnalsATS.202105-539OC
14,Ozone-related asthma emergency department visits in the US in a warming climate,Nicholas Nassikas;Keith Spangler;Neal Fann;Christopher G Nolte;Patrick Dolwick;Tanya L Spero;Perry Sheffield;Gregory A Wellenius,Environmental Research,2020,https://doi.org/10.1016/j.envres.2020.109206
15,Paediatric Emergency Asthma Presentations: Temporal Trends and Representations in Rural Australia,Daniel Terry;Blake Peck;Kate Kloot,Healthcare,2023,https://doi.org/10.3390/healthcare11243113
16,Relationship between air quality and asthma-related emergency hospital admissions in Mexico City 2017-2019,Hayes et al.,Thorax,2024,https://doi.org/10.1136/thorax-2022-219262
17,Racial Disparities in Climate Change-Related Health Effects in the United States,Alique G Berberian;David J X Gonzalez;Lara J Cushing,Current Environmental Health Reports,2022,https://doi.org/10.1007/s40572-022-00360-w
18,Effects of temperature and humidity on cerebrovascular disease hospitalization in a super-aging society,Shunichi Doi;Kihei Yoneyama;Toshiya Yoshida;Yasuhito Kawagoe;Michikazu Nakai;Yoko Sumita;Yuki Ishibashi;Masaki Izumo;Yasuhiro Tanabe;Tomoo Harada;Yoshihiro J Akashi,Scientific Reports,2023,https://doi.org/10.1038/s41598-023-47998-6
19,Ozone Pollution: A Major Health Hazard Worldwide,Junfeng Zhang;Yongjie Wei;Zhangfu Fang,Frontiers in Immunology,2019,https://doi.org/10.3389/fimmu.2019.02518
20,Asthma Exacerbations Attributable to Ozone Air Pollution in New England,Nicholas J Nassikas;Keith Spangler;Gregory A Wellenius,Climate Change,2021,nil
21,Association between air quality index and effects on emergency department visits for acute respiratory and cardiovascular diseases,Panumas Surit;Wachira Wongtanasarasin;Chiraphat Boonnag;Borwon Wittayachamnankul,PLOS ONE,2023,https://doi.org/10.1371/journal.pone.0294107
22,"Temperature variability associations with cardiovascular and respiratory emergency department visits in Dhaka, Bangladesh",Md Mostafijur Rahman;Erika Garcia;Chris C Lim;Marya Ghazipura;Nur Alam;Lawrence A Palinkas;Rob McConnell;George Thurston,Environment International,2022,https://doi.org/10.1016/j.envint.2022.107267
23,Asthma hospitalisations and heat exposure in England: a case�crossover study during 2002�2019,Garyfallos Konstantinoudis;Cosetta Minelli;Holly Ching Yu Lam;Elaine Fuertes;Joan Ballester;Bethan Davies;Ana Maria Vicedo-Cabrera;Antonio Gasparrini;Marta Blangiardo,Thorax,2023,https://doi.org/10.1136/thorax-2022-219901
24,Association between ambient temperature and cardiovascular disease hospitalisations among farmers in suburban northwest China,Bin Wang;Guorong Chai;Yongzhong Sha;Yana Su,International Journal of Biometeorology,2022,https://doi.org/10.1007/s00484-022-02278-2
25,Association between ambient temperature and ambulance dispatch: a systematic review and meta-analysis,Er Xu;Yanni Li;Tingting Li;Qing Li,Environmental Science and Pollution Research,2022,https://doi.org/10.1007/s11356-022-20508-3
26,Early-Life Exposure to Ambient Air Pollution from Multiple Sources and Asthma Incidence in Children: A Nationwide Birth Cohort Study from Denmark,Marie Pedersen;Shuo Liu;Jiawei Zhang;Zorana Jovanovic Andersen;Jørgen Brandt;Esben Budtz-Jørgensen;Klaus Bønnelykke;Lise Marie Frohn;Anne-Marie Nybo Andersen;Matthias Ketzel;Jibran Khan;Leslie Stayner;Bert Brunekreef;Steffen Loft,Environmental Health Perspectives,2023,https://doi.org/10.1289/EHP11539
27,Ambient temperature and risk of cardiovascular and respiratory adverse health outcomes: a nationwide cross-sectional study from Spain,Hicham Achebak;Grégoire Rey;Simon J Lloyd;Marcos Quijal-Zamorano;Raúl Fernando Méndez-Turrubiates;Joan Ballester,European Journal of Preventive Cardiology,2024,https://doi.org/10.1093/eurjpc/zwae021
28,Sulfur dioxide and exacerbation of allergic respiratory diseases: A time-stratified case-crossover study,Vesna Tomić-Spirić;Gordana Kovačević;Jelena Marinković;Janko Janković;Anđa Ćirković;Ana Milošević Đerić;Nenad Relić;Slavenka Janković,Journal of Research in Medical Sciences,2021,https://doi.org/10.4103/jrms.JRMS_6_20
29,"Association between ambient temperature and cardiovascular diseases related hospital admissions in Lanzhou, China",Jianjian Jin;Xiaoxue Meng;Dongmei Wang;Bing Han;Tingting Wu;Jing Xie;Qi Zhang;Dingxiong Xie;Zheng Zhang,Heliyon,2023,https://doi.org/10.1016/j.heliyon.2023.e12997
30,"Short-Term Associations between PM10 and Respiratory Health Effects in Visby, Sweden",Andreas Tornevi;Henrik Olstrup;Bertil Forsberg,Toxics,2022,https://doi.org/10.3390/toxics10060333
31,"The association between asthma emergency department visits and satellite-derived PM2.5 in Lima, Peru",Bryan N Vu;Vilma Tapia;Stefanie Ebelt;Gustavo F Gonzales;Yang Liu;Kyle Steenland,Environmental Research,2021,https://doi.org/10.1016/j.envres.2021.111226
32,"Long-term PM2.5 exposure and survival among cardiovascular disease patients in Beijing, China",Dandan Xu;Yi Zhang;Qinghua Sun;Xiaofeng Wang;Tiantian Li,Environmental Science and Pollution Research,2021,https://doi.org/10.1007/s11356-021-14043-w
33,Health Outcomes of Exposure to Biological and Chemical Components of Inhalable and Respirable Particulate Matter,Oyewale Morakinyo;Matlou Mokgobu;Murembiwa Mukhola;Raymond Hunter,International Journal of Environmental Research and Public Health,2016,https://doi.org/10.3390/ijerph13060592
34,"PM2.5-associated risk for cardiovascular hospital admission and related economic burdens in Beijing, China",Jie Ban;Runmei Ma;Yi Zhang;Tiantian Li,Science of The Total Environment,2021,https://doi.org/10.1016/j.scitotenv.2021.149445
35,"Physiological equivalent temperature (PET) and non-accidental, cardiovascular and respiratory disease mortality in Ahvaz, Iran",Maryam Dastoorpoor;Narges Khodadadi;Kambiz Masoumi;Narges Khanjani;Esmaeil Idani;Seyed Hamid Borsi;Gholamreza Goudarzi;Hanieh Raji;Rahim Sharafkhani,Environmental Geochemistry and Health,2022,https://doi.org/10.1007/s10653-021-01063-1
